Origin,Mode of Transport,Distance,Travel Time,Age Group,Weather,Peak/NoPeak,Day,Carpooling,Age,Eco_Consciousness,Total Congestion,Total Travel Time,Total Costs,Total Emissions
Liverpool,Petrol Car,111.8,1.5,18-24,Rain,Peak,Weekday,3,21,8,2.24,3.36,70.35,14981.2
London,Petrol Car,127.2,1.5,25-34,Rain,Peak,Weekday,3,30,7,2.24,3.36,77.28,17044.8
Bristol,Petrol Car,114,1.3,45-54,Rain,Peak,Weekday,3,50,5,2.24,2.912,71.34,15276
Newcastle,Petrol Car,118.4,1.7,45-54,Rain,Peak,Weekday,3,50,5,2.24,3.808,73.32,15865.6
Liverpool,Petrol Car,105.1,2.3,25-34,Rain,Peak,Weekday,3,30,7,2.24,5.152,67.335,14083.4
Newcastle,Petrol Car,89.8,1.5,25-34,Rain,Peak,Weekday,3,30,7,2.24,3.36,60.45,12033.2
Bristol,Petrol Car,112.2,1.6,25-34,Rain,Peak,Weekday,3,30,7,2.24,3.584,70.53,15034.8
Bristol,Petrol Car,101.9,1.3,18-24,Rain,Peak,Weekday,3,21,8,2.24,2.912,65.895,13654.6
Manchester,Petrol Car,77.8,1.7,35-44,Rain,Peak,Weekday,3,40,6,2.24,3.808,55.05,10425.2
Liverpool,Petrol Car,133.1,1.6,35-44,Rain,Peak,Weekday,3,40,6,2.24,3.584,79.935,17835.4
Newcastle,Petrol Car,78,1,18-24,Rain,Peak,Weekday,3,21,8,2.24,2.24,55.14,10452
Birmingham,Petrol Car,96.5,1.8,25-34,Rain,Peak,Weekday,3,30,7,2.24,4.032,63.465,12931
London,Petrol Car,97.7,1.5,25-34,Rain,Peak,Weekday,3,30,7,2.24,3.36,64.005,13091.8
Birmingham,Petrol Car,107.7,2,55-64,Rain,Peak,Weekday,3,60,4,2.24,4.48,68.505,14431.8
London,Petrol Car,80.6,1.4,18-24,Rain,Peak,Weekday,3,21,8,2.24,3.136,56.31,10800.4
Newcastle,Petrol Car,162.1,1.9,35-44,Rain,Peak,Weekday,3,40,6,2.24,4.256,92.985,21721.4
Liverpool,Petrol Car,108.8,1.9,18-24,Rain,Peak,Weekday,3,21,8,2.24,4.256,69,14579.2
Birmingham,Petrol Car,102.9,1.8,25-34,Rain,Peak,Weekday,3,30,7,2.24,4.032,66.345,13788.6
Birmingham,Petrol Car,95.4,1,25-34,Rain,Peak,Weekday,3,30,7,2.24,2.24,62.97,12783.6
Manchester,Petrol Car,82.8,0.8,55-64,Rain,Peak,Weekday,3,60,4,2.24,1.792,57.3,11095.2
Birmingham,Petrol Car,148.7,1.5,18-24,Rain,Peak,Weekday,3,21,8,2.24,3.36,86.955,19925.8
Liverpool,Petrol Car,72.9,1.5,55-64,Rain,Peak,Weekday,3,60,4,2.24,3.36,52.845,9768.6
Bristol,Petrol Car,91.1,1.9,55-64,Rain,Peak,Weekday,3,60,4,2.24,4.256,61.035,12207.4
Bristol,Petrol Car,128.7,1.5,18-24,Rain,Peak,Weekday,3,21,8,2.24,3.36,77.955,17245.8
Liverpool,Petrol Car,168.1,1.2,35-44,Rain,Peak,Weekday,3,40,6,2.24,2.688,95.685,22525.4
Newcastle,Petrol Car,70.5,1.8,25-34,Rain,Peak,Weekday,3,30,7,2.24,4.032,51.765,9447
Manchester,Petrol Car,90.7,1.8,18-24,Rain,Peak,Weekday,3,21,8,2.24,4.032,60.855,12153.8
Newcastle,Petrol Car,82.7,1.5,25-34,Rain,Peak,Weekday,3,30,7,2.24,3.36,57.255,11081.8
Liverpool,Petrol Car,135.9,1.7,18-24,Rain,Peak,Weekend,3,21,8,2.58,4.386,81.195,18210.6
Birmingham,Petrol Car,91.4,1.3,25-34,Rain,Peak,Weekend,3,30,7,2.58,3.354,61.17,12247.6
Newcastle,Petrol Car,133,1.3,55-64,Rain,Peak,Weekend,3,60,4,2.58,3.354,79.89,17822
London,Petrol Car,145.6,1.3,18-24,Rain,Peak,Weekend,3,21,8,2.58,3.354,85.56,19510.4
Birmingham,Petrol Car,44.9,1.6,35-44,Rain,Peak,Weekend,3,40,6,2.58,4.128,40.245,6016.6
London,Petrol Car,125.9,1.7,55-64,Rain,Peak,Weekend,3,60,4,2.58,4.386,76.695,16870.6
London,Petrol Car,93.4,1.2,45-54,Rain,Peak,Weekend,3,50,5,2.58,3.096,62.07,12515.6
Bristol,Petrol Car,55.4,1.9,25-34,Rain,Peak,Weekend,3,30,7,2.58,4.902,44.97,7423.6
Liverpool,Petrol Car,105.6,1.8,18-24,Rain,Peak,Weekend,3,21,8,2.58,4.644,67.56,14150.4
Bristol,Petrol Car,104.4,1.4,25-34,Rain,Peak,Weekend,3,30,7,2.58,3.612,67.02,13989.6
Newcastle,Petrol Car,107.9,1.8,65+,Rain,Peak,Weekend,3,68,4,2.58,4.644,68.595,14458.6
London,Petrol Car,125.6,0.9,35-44,Rain,Peak,Weekend,3,40,6,2.58,2.322,76.56,16830.4
London,Petrol Car,96.9,1.5,25-34,Rain,Peak,Weekend,3,30,7,2.58,3.87,63.645,12984.6
Manchester,Petrol Car,126,1.8,35-44,Rain,Peak,Weekend,3,40,6,2.58,4.644,76.74,16884
Liverpool,Petrol Car,76,2,65+,Rain,Peak,Weekend,3,68,4,2.58,5.16,54.24,10184
Birmingham,Petrol Car,99.7,1.7,18-24,Rain,Peak,Weekend,3,21,8,2.58,4.386,64.905,13359.8
Manchester,Petrol Car,92.1,1.2,18-24,Rain,Peak,Weekend,3,21,8,2.58,3.096,61.485,12341.4
Newcastle,Petrol Car,107,1.6,55-64,Rain,Peak,Weekend,3,60,4,2.58,4.128,68.19,14338
Newcastle,Petrol Car,46.2,1.5,35-44,Rain,Peak,Weekend,3,40,6,2.58,3.87,40.83,6190.8
Bristol,Petrol Car,127.8,1.2,35-44,Rain,Peak,Weekend,3,40,6,2.58,3.096,77.55,17125.2
Liverpool,Petrol Car,100.1,1.9,45-54,Rain,Peak,Weekend,3,50,5,2.58,4.902,65.085,13413.4
Birmingham,Petrol Car,92.6,1.3,25-34,Rain,Peak,Weekend,3,30,7,2.58,3.354,61.71,12408.4
Liverpool,Petrol Car,96.3,1.2,25-34,Rain,Peak,Weekend,3,30,7,2.58,3.096,63.375,12904.2
Manchester,Petrol Car,94.2,1.4,25-34,Rain,Peak,Weekend,3,30,7,2.58,3.612,62.43,12622.8
Newcastle,Petrol Car,129.3,1.5,18-24,Rain,Peak,Weekend,3,21,8,2.58,3.87,78.225,17326.2
Bristol,Petrol Car,93.5,1.2,18-24,Rain,Peak,Weekend,3,21,8,2.58,3.096,62.115,12529
Birmingham,Petrol Car,54.4,1.7,18-24,Rain,Peak,Weekend,3,21,8,2.58,4.386,44.52,7289.6
Liverpool,Petrol Car,117.6,1,45-54,Rain,Peak,Weekend,3,50,5,2.58,2.58,72.96,15758.4
London,Petrol Car,69.8,1.4,45-54,Rain,Peak,Weekend,3,50,5,2.58,3.612,51.45,9353.2
Newcastle,Petrol Car,98.5,1.3,25-34,Rain,Peak,Weekend,3,30,7,2.58,3.354,64.365,13199
London,Petrol Car,85.5,1.7,55-64,Rain,Peak,Weekend,3,60,4,2.58,4.386,58.515,11457
Liverpool,Petrol Car,153.5,1.6,25-34,Rain,Peak,Weekend,3,30,7,2.58,4.128,89.115,20569
Bristol,Petrol Car,145.5,1.6,25-34,Rain,Peak,Weekend,3,30,7,2.58,4.128,85.515,19497
Manchester,Petrol Car,121.4,1.5,55-64,Rain,Peak,Weekend,3,60,4,2.58,3.87,74.67,16267.6
London,Petrol Car,106.6,1.4,18-24,Rain,Peak,Weekend,3,21,8,2.58,3.612,68.01,14284.4
Liverpool,Petrol Car,109.2,1.7,45-54,Rain,Peak,Weekend,3,50,5,2.58,4.386,69.18,14632.8
Liverpool,Petrol Car,96.6,1.7,55-64,Rain,Peak,Weekend,3,60,4,2.58,4.386,63.51,12944.4
Bristol,Petrol Car,94.7,1.1,35-44,Rain,Peak,Weekend,3,40,6,2.58,2.838,62.655,12689.8
Bristol,Petrol Car,115.3,1.4,35-44,Rain,Peak,Weekend,3,40,6,2.58,3.612,71.925,15450.2
London,Petrol Car,112.1,1.6,18-24,Rain,Peak,Weekend,3,21,8,2.58,4.128,70.485,15021.4
Bristol,Petrol Car,87.9,1.9,25-34,Rain,Peak,Weekend,3,30,7,2.58,4.902,59.595,11778.6
Birmingham,Petrol Car,72.3,1.5,45-54,Rain,Peak,Weekend,3,50,5,2.58,3.87,52.575,9688.2
Birmingham,Petrol Car,100.5,1.3,45-54,Rain,Peak,Weekend,3,50,5,2.58,3.354,65.265,13467
Liverpool,Petrol Car,79.5,2.3,25-34,Rain,Peak,Weekend,3,30,7,2.58,5.934,55.815,10653
Manchester,Petrol Car,61.5,1.9,25-34,Rain,Peak,Weekend,3,30,7,2.58,4.902,47.715,8241
Newcastle,Petrol Car,75.4,0.8,35-44,Rain,Peak,Weekend,3,40,6,2.58,2.064,53.97,10103.6
London,Petrol Car,156.5,1.3,18-24,Rain,Peak,Weekend,3,21,8,2.58,3.354,90.465,20971
Birmingham,Petrol Car,107.8,1.5,25-34,Rain,Peak,Weekend,3,30,7,2.58,3.87,68.55,14445.2
Birmingham,Petrol Car,106.5,1.9,45-54,Rain,Peak,Weekend,3,50,5,2.58,4.902,67.965,14271
Birmingham,Petrol Car,107.9,2.1,35-44,Rain,Peak,Weekend,3,40,6,2.58,5.418,68.595,14458.6
Newcastle,Petrol Car,83.7,1.3,18-24,Rain,Peak,Weekend,3,21,8,2.58,3.354,57.705,11215.8
Birmingham,Petrol Car,146.5,1.7,25-34,Rain,Peak,Weekend,3,30,7,2.58,4.386,85.965,19631
Manchester,Petrol Car,108.7,1.4,25-34,Rain,Peak,Weekend,3,30,7,2.58,3.612,68.955,14565.8
Birmingham,Petrol Car,82.5,1.6,18-24,Rain,Peak,Weekend,3,21,8,2.58,4.128,57.165,11055
Newcastle,Petrol Car,81.3,1.2,25-34,Rain,Peak,Weekend,3,30,7,2.58,3.096,56.625,10894.2
Manchester,Petrol Car,69.3,1.7,55-64,Rain,Peak,Weekend,3,60,4,2.58,4.386,51.225,9286.2
Manchester,Petrol Car,91.3,1.7,35-44,Rain,Peak,Weekend,3,40,6,2.58,4.386,61.125,12234.2
Liverpool,Petrol Car,131.4,1.7,35-44,Rain,Peak,Weekend,3,40,6,2.58,4.386,79.17,17607.6
London,Petrol Car,87.4,1.7,25-34,Rain,Peak,Weekend,3,30,7,2.58,4.386,59.37,11711.6
Liverpool,Petrol Car,92.2,2.2,35-44,Rain,Peak,Weekend,3,40,6,2.58,5.676,61.53,12354.8
Liverpool,Petrol Car,84.5,1.2,35-44,Rain,Peak,Weekend,3,40,6,2.58,3.096,58.065,11323
Newcastle,Petrol Car,128.7,1.6,45-54,Rain,Peak,Weekend,3,50,5,2.58,4.128,77.955,17245.8
Newcastle,Petrol Car,100.5,1.7,45-54,Rain,Peak,Weekend,3,50,5,2.58,4.386,65.265,13467
Birmingham,Petrol Car,116.9,1.8,18-24,Rain,Peak,Weekend,3,21,8,2.58,4.644,72.645,15664.6
London,Petrol Car,115.8,1.2,18-24,Rain,Peak,Weekend,3,21,8,2.58,3.096,72.15,15517.2
Liverpool,Petrol Car,188.8,1.5,18-24,Rain,Peak,Weekend,3,21,8,2.58,3.87,105,25299.2
Bristol,Petrol Car,39.7,1,18-24,Rain,Peak,Weekend,3,21,8,2.58,2.58,37.905,5319.8
Liverpool,Petrol Car,166.3,1.8,25-34,Rain,Peak,Weekend,3,30,7,2.58,4.644,94.875,22284.2
Liverpool,Petrol Car,112.4,1.3,18-24,Rain,Peak,Weekend,3,21,8,2.58,3.354,70.62,15061.6
Newcastle,Petrol Car,78.4,1.5,18-24,Rain,Peak,Weekend,3,21,8,2.58,3.87,55.32,10505.6
Bristol,Petrol Car,67.9,1.5,18-24,Rain,Peak,Weekend,3,21,8,2.58,3.87,50.595,9098.6
Newcastle,Petrol Car,93.8,1.5,18-24,Rain,Peak,Weekend,3,21,8,2.58,3.87,62.25,12569.2
Manchester,Petrol Car,39.8,1.6,45-54,Rain,Peak,Weekend,3,50,5,2.58,4.128,37.95,5333.2
Manchester,Petrol Car,94.1,1.4,18-24,Rain,Peak,Weekend,3,21,8,2.58,3.612,62.385,12609.4
London,Petrol Car,109.7,1.5,18-24,Rain,Peak,Weekend,3,21,8,2.58,3.87,69.405,14699.8
Liverpool,Petrol Car,168.1,1.7,25-34,Rain,Peak,Weekend,3,30,7,2.58,4.386,95.685,22525.4
Bristol,Petrol Car,71,1.4,18-24,Rain,Peak,Weekend,3,21,8,2.58,3.612,51.99,9514
Birmingham,Petrol Car,105.7,0.9,35-44,Rain,Peak,Weekend,3,40,6,2.58,2.322,67.605,14163.8
Birmingham,Petrol Car,107.8,1.5,25-34,Rain,Peak,Weekend,3,30,7,2.58,3.87,68.55,14445.2
Liverpool,Petrol Car,161.1,1.2,25-34,Rain,Peak,Weekend,3,30,7,2.58,3.096,92.535,21587.4
Manchester,Petrol Car,128.6,1.9,25-34,Rain,Peak,Weekend,3,30,7,2.58,4.902,77.91,17232.4
Newcastle,Petrol Car,112.8,1.3,45-54,Rain,Peak,Weekend,3,50,5,2.58,3.354,70.8,15115.2
London,Petrol Car,93.1,2,35-44,Rain,Peak,Weekend,3,40,6,2.58,5.16,61.935,12475.4
Newcastle,Petrol Car,72.2,1.5,18-24,Rain,Peak,Weekend,3,21,8,2.58,3.87,52.53,9674.8
Newcastle,Petrol Car,91.2,1.4,18-24,Rain,Peak,Weekend,3,21,8,2.58,3.612,61.08,12220.8
Liverpool,Petrol Car,139.5,1.7,45-54,Rain,Peak,Weekend,3,50,5,2.58,4.386,82.815,18693
London,Petrol Car,62.3,1.3,18-24,Rain,Peak,Weekend,3,21,8,2.58,3.354,48.075,8348.2
Liverpool,Petrol Car,110.4,1.4,35-44,Rain,Peak,Weekend,3,40,6,2.58,3.612,69.72,14793.6
Manchester,Petrol Car,87.1,1.5,18-24,Rain,Peak,Weekend,3,21,8,2.58,3.87,59.235,11671.4
Birmingham,Petrol Car,77.9,1.6,45-54,Rain,Peak,Weekend,3,50,5,2.58,4.128,55.095,10438.6
London,Petrol Car,106.8,1.7,45-54,Rain,Peak,Weekend,3,50,5,2.58,4.386,68.1,14311.2
Manchester,Petrol Car,112.3,1.1,18-24,Rain,Peak,Weekend,3,21,8,2.58,2.838,70.575,15048.2
Newcastle,Petrol Car,116,2,35-44,Rain,Peak,Weekend,3,40,6,2.58,5.16,72.24,15544
Manchester,Petrol Car,109.6,1.7,45-54,Rain,Peak,Weekend,3,50,5,2.58,4.386,69.36,14686.4
Bristol,Petrol Car,143.4,1.1,25-34,Rain,Peak,Weekend,3,30,7,2.58,2.838,84.57,19215.6
Liverpool,Petrol Car,52.8,1.5,18-24,Rain,No Peak,Weekend,3,21,8,1.72,2.58,43.8,7075.2
London,Petrol Car,116.2,1.6,35-44,Rain,No Peak,Weekday,3,40,6,1.5,2.4,72.33,15570.8
Liverpool,Petrol Car,128.6,1.7,55-64,Rain,No Peak,Weekday,3,60,4,1.5,2.55,77.91,17232.4
Bristol,Petrol Car,135.5,1.7,25-34,Rain,No Peak,Weekend,3,30,7,1.72,2.924,81.015,18157
Liverpool,Petrol Car,114.1,1.2,25-34,Rain,No Peak,Weekend,3,30,7,1.72,2.064,71.385,15289.4
Bristol,Petrol Car,97.4,1.9,25-34,Rain,No Peak,Weekday,3,30,7,1.5,2.85,63.87,13051.6
Liverpool,Petrol Car,68.8,1.1,25-34,Rain,No Peak,Weekend,3,30,7,1.72,1.892,51,9219.2
Manchester,Petrol Car,66.6,1.1,55-64,Rain,No Peak,Weekend,3,60,4,1.72,1.892,50.01,8924.4
Bristol,Petrol Car,154.9,1.4,35-44,Rain,No Peak,Weekend,3,40,6,1.72,2.408,89.745,20756.6
Bristol,Petrol Car,111.3,1.9,45-54,Rain,No Peak,Weekday,3,50,5,1.5,2.85,70.125,14914.2
Liverpool,Petrol Car,141.1,1.6,18-24,Rain,No Peak,Weekday,3,21,8,1.5,2.4,83.535,18907.4
Newcastle,Petrol Car,120.7,1.2,45-54,Rain,No Peak,Weekend,3,50,5,1.72,2.064,74.355,16173.8
Bristol,Petrol Car,127.6,1.2,18-24,Rain,No Peak,Weekday,3,21,8,1.5,1.8,77.46,17098.4
Newcastle,Petrol Car,127.1,1.4,18-24,Rain,No Peak,Weekend,3,21,8,1.72,2.408,77.235,17031.4
Liverpool,Petrol Car,108.2,1.6,18-24,Rain,No Peak,Weekend,3,21,8,1.72,2.752,68.73,14498.8
Manchester,Petrol Car,130.9,1.5,45-54,Rain,No Peak,Weekend,3,50,5,1.72,2.58,78.945,17540.6
Liverpool,Petrol Car,96.6,1.3,18-24,Rain,No Peak,Weekend,3,21,8,1.72,2.236,63.51,12944.4
Birmingham,Petrol Car,36.2,2,35-44,Rain,No Peak,Weekend,3,40,6,1.72,3.44,36.33,4850.8
Bristol,Petrol Car,173.6,1.8,18-24,Rain,No Peak,Weekday,3,21,8,1.5,2.7,98.16,23262.4
Newcastle,Petrol Car,120.6,1.2,18-24,Rain,No Peak,Weekday,3,21,8,1.5,1.8,74.31,16160.4
Bristol,Petrol Car,137.3,1.4,35-44,Rain,No Peak,Weekend,3,40,6,1.72,2.408,81.825,18398.2
Birmingham,Petrol Car,101.2,1.7,35-44,Rain,No Peak,Weekday,3,40,6,1.5,2.55,65.58,13560.8
Bristol,Petrol Car,86.5,1.4,45-54,Rain,No Peak,Weekday,3,50,5,1.5,2.1,58.965,11591
London,Petrol Car,55.5,2.2,35-44,Rain,No Peak,Weekday,3,40,6,1.5,3.3,45.015,7437
Bristol,Petrol Car,105,1.5,35-44,Rain,No Peak,Weekday,3,40,6,1.5,2.25,67.29,14070
Manchester,Petrol Car,56.5,1.4,25-34,Rain,No Peak,Weekday,3,30,7,1.5,2.1,45.465,7571
Newcastle,Petrol Car,57.5,1.8,45-54,Rain,No Peak,Weekday,3,50,5,1.5,2.7,45.915,7705
Manchester,Petrol Car,123.3,1.6,45-54,Rain,No Peak,Weekday,3,50,5,1.5,2.4,75.525,16522.2
Birmingham,Petrol Car,136.6,1.7,35-44,Rain,No Peak,Weekend,3,40,6,1.72,2.924,81.51,18304.4
Manchester,Petrol Car,123.4,1.1,18-24,Rain,No Peak,Weekend,3,21,8,1.72,1.892,75.57,16535.6
Newcastle,Petrol Car,53.9,1.7,25-34,Rain,No Peak,Weekend,3,30,7,1.72,2.924,44.295,7222.6
Liverpool,Petrol Car,85.1,1.4,18-24,Rain,No Peak,Weekday,3,21,8,1.5,2.1,58.335,11403.4
London,Petrol Car,61.3,1,25-34,Rain,No Peak,Weekend,3,30,7,1.72,1.72,47.625,8214.2
Manchester,Petrol Car,88,1.7,25-34,Rain,No Peak,Weekday,3,30,7,1.5,2.55,59.64,11792
Bristol,Petrol Car,74.5,1.6,18-24,Rain,No Peak,Weekday,3,21,8,1.5,2.4,53.565,9983
Bristol,Petrol Car,44.9,1.3,25-34,Rain,No Peak,Weekend,3,30,7,1.72,2.236,40.245,6016.6
Liverpool,Petrol Car,109.4,1.4,25-34,Rain,No Peak,Weekend,3,30,7,1.72,2.408,69.27,14659.6
London,Petrol Car,126.2,0.8,18-24,Rain,No Peak,Weekend,3,21,8,1.72,1.376,76.83,16910.8
